port,protocolo,estado,flags
178,tcp,cerrado,
178,udp,abierto|filtrado,
179,tcp,cerrado,
179,udp,abierto|filtrado,
180,tcp,cerrado,
180,udp,filtrado,
181,tcp,filtrado,
181,udp,filtrado,
182,tcp,filtrado,
182,udp,filtrado,
183,tcp,cerrado,
183,udp,abierto|filtrado,
184,tcp,cerrado,
184,udp,abierto|filtrado,
185,tcp,cerrado,
185,udp,filtrado,
186,tcp,filtrado,
186,udp,filtrado,
187,tcp,filtrado,
187,udp,filtrado,
188,tcp,cerrado,
188,udp,abierto|filtrado,
189,tcp,cerrado,
189,udp,abierto|filtrado,
190,tcp,filtrado,
190,udp,filtrado,
191,tcp,cerrado,
191,udp,filtrado,
192,tcp,cerrado,
192,udp,abierto|filtrado,
193,tcp,cerrado,
193,udp,abierto|filtrado,
194,tcp,cerrado,
194,udp,filtrado,
195,tcp,filtrado,
195,udp,filtrado,
196,tcp,filtrado,
196,udp,filtrado,
197,tcp,cerrado,
197,udp,abierto|filtrado,
198,tcp,cerrado,
198,udp,abierto|filtrado,
199,tcp,cerrado,
199,udp,abierto|filtrado,
200,tcp,cerrado,
200,udp,abierto|filtrado,
201,tcp,cerrado,
201,udp,abierto|filtrado,
202,tcp,cerrado,
202,udp,filtrado,
203,tcp,filtrado,
203,udp,filtrado,
204,tcp,filtrado,
204,udp,filtrado,
205,tcp,cerrado,
205,udp,abierto|filtrado,
206,tcp,cerrado,
206,udp,abierto|filtrado,
207,tcp,cerrado,
207,udp,filtrado,
208,tcp,filtrado,
208,udp,filtrado,
209,tcp,filtrado,
209,udp,filtrado,
210,tcp,cerrado,
210,udp,abierto|filtrado,
211,tcp,cerrado,
211,udp,abierto|filtrado,
212,tcp,cerrado,
212,udp,filtrado,
213,tcp,filtrado,
213,udp,filtrado,
214,tcp,filtrado,
214,udp,filtrado,
215,tcp,cerrado,
215,udp,abierto|filtrado,
216,tcp,cerrado,
216,udp,abierto|filtrado,
217,tcp,cerrado,
217,udp,filtrado,
218,tcp,filtrado,
218,udp,filtrado,
219,tcp,cerrado,
219,udp,abierto|filtrado,
220,tcp,cerrado,
220,udp,abierto|filtrado,
221,tcp,cerrado,
221,udp,filtrado,
222,tcp,filtrado,
222,udp,filtrado,
223,tcp,filtrado,
223,udp,filtrado,
224,tcp,cerrado,
224,udp,abierto|filtrado,
225,tcp,cerrado,
225,udp,abierto|filtrado,
226,tcp,cerrado,
226,udp,abierto|filtrado,
227,tcp,cerrado,
227,udp,abierto|filtrado,
228,tcp,cerrado,
228,udp,abierto|filtrado,
229,tcp,cerrado,
229,udp,filtrado,
230,tcp,filtrado,
230,udp,filtrado,
231,tcp,filtrado,
231,udp,filtrado,
232,tcp,cerrado,
232,udp,abierto|filtrado,
233,tcp,cerrado,
233,udp,abierto|filtrado,
234,tcp,cerrado,
234,udp,filtrado,
235,tcp,filtrado,
235,udp,filtrado,
